book file(ISBN순)
도서번호(정수7자리) 
도서명(문자열) 
출판사(문자열)
저자명(문자열)
ISBN(정수13자리) 
소장처(문자열)
대여가능여부(문자)

도서번호 | "도서명" | "출판사" | "저자명" | ISBN | "소장처" | "Y/N"

0000001 | "사피엔스" | "김영사" | "조현욱" | 9788934972464 | "숭실대학교 도서관" | "Y"
0000002 | "저는 남자고 페미니스트입니다" | "생각의힘" | "임정엽" | 9791185585505 | "서강대학교 도서관" | "Y"
0000003 | "제0호" | "열린책들" | "이세욱" | 9788932919270 | "숭실대학교 도서관" | "Y"
0000004 | "미술심리치료학 | "아담북스" | "임세라" | 9788926867839 | "숭실대학교 도서관" | "Y"
0000005 | "아동상담" | "학문사" | "김경희" | 9788996647300 | "숭실대학교 도서관 " | "Y"
0000006 | "사회복지정책론" | "방통대 출판문화원" | "문병기" | 9788920008993 | "숭실대학교 도서관 | "Y"
0000007 | "돌이킬 수 없는 약속" | "북플라자" | "김성미" | 9788998274795 | "숭실대학교 도서관 | "Y"
0000008 | "아프니까 청춘이다" | "쌤앤파커스" | "김난도" | 9788965700036 | "숭실대학교 도서관 | "Y"
0000009 | "언어의 온도" | "말글터" | "이기주" | 9791195522125 | "숭실대학교 도서관" | "Y"
0000010 | "역사의 역사" | "돌베개" | "유시민" | 9788971998557 | "숭실대학교 도서관" | "Y"
0000011 | "나미야 잡화점의 기적" | "현대문학" | "양윤옥" | 9788972756194 | "숭실대학교 도서관" | "Y"
0000012 | "죽고 싶지만 떡볶이는 먹고 싶어" | "흔" | "백세희" | 9791196394509 | "숭실대학교 도서관" | "Y"
0000013 | "개인주의자 선언" | "문학동네" | "문유석" | 9788954637756 | "숭실대학교 도서관" | "Y"
0000014 | "돈으로 살 수 없는 것들" | "와이즈베리" | "안기순" | 9788937833663 | "숭실대학교 도서관" | "Y"
0000015 | "자존감 수업" | "심플라이프" | "윤홍균" | 9791186757093 | "숭실대학교 도서관" | "Y"
0000016 | "82년생 김지영" | "민음사" | "조남주" | 9788937473135 | "숭실대학교 도서관" | "Y"
0000017 | "지적 대화를 위한 넓고 얕은 지식" | "한빛비즈" | "채사장" | 9788994120966 | "숭실대학교 도서관" | "Y"
0000018 | "오직 두 사람" | "문학동네" | "김영하" | 9788954645614 | "숭실대학교 도서관" | "Y"
0000019 | "전자회로" | "피어슨에듀케이션" | "김수원" | 9788945001658 | "숭실대학교 도서관" | "Y"
0000020 | "생명의 윤리를 말하다" | "동녘" | "강명신" | 9788972976301 | "숭실대학교 도서관" | "Y"
0000021 | "왜 나는 너를  사랑하는가" | "청미래" | "정영목" | 9788986836240 | "숭실대학교 도서관" | "Y"
0000022 | "내게 무해한 사람" | "문학동네" | "최은영" | 9788954651820 | "숭실대학교 도서관" | "Y"
0000023 | "연애의 행방" | "소미미디어" | "양윤옥" | 9791161903538 | "숭실대학교 도서관" | "Y"
0000024 | "행복과 인간적 삶의 조건" | "커뮤니케이션북스" | "김선욱" | 9791128805509 | "숭실대학교 도서관" | "Y"
0000025 | "경제학 연습" | "세경북스" | "정병열" | 9791159730092 | "숭실대학교 도서관" | "Y"
0000026 | "감시와 처벌: | "나남" | "오생근" | 9788930088572 | "숭실대학교 도서관" | "Y"
0000027 | "숲에는 갈등이 없다" | "아름다운 인연" | "이우상" | 9788993629866 | "숭실대학교 도서관" | "Y"
0000028 | "전환기의 제주도시건축" | "보고사" | "김태일" | 9788984332959 | "숭실대학교 도서관" | "Y"
0000029 | "여혐민국" | "베리북" | "정현용" | 9791195446599 | "서강대학교 도서관" | "Y"
0000030 | "가만히 좋아하는" | "창비" | "김사인" | 9788936422622 | "숭실대학교 도서관" | "Y"
0000031 | "감옥으로부터의 사색" | "돌베개" | 신영복" | 9788971991060 | "숭실대학교 도서관" | "Y"
0000032 | "개선문" | "홍신문화사" | "박혜령" | 8970552642123 | "숭실대학교 도서관" | "Y"
0000033 | "겐지이야기" | "한길사" | "자식부" | 9788935658046 | "숭실대학교 도서관" | "Y"
0000034 | "계몽의 변증법" | "문학과 지정사" | "김유동" | 8932012652456 | "숭실대학교 도서관" | "Y"
0000035 | "고대문명교류사" | "사계절" | "정수일" | 8971968303789 | "숭실대학교 도서관" | "Y"
0000036 | "고도를 기다리며" | "민음사" | "오증자" | 9788937460432 | "숭실대학교 도서관" | "Y"
0000037 | "고백록" | "범우" | "김평옥" | 9788991167827 | "숭실대학교 도서관" | "Y"
0000038 | "고양이 대학살" | "문학과 지성사" | "조한욱" | 8932008434111 | "숭실대학교 도서관" | "Y"
0000039 | "과학은 모든 의문에 답할 수 있는가" | "두산동아" | "김동광" | 8900056689125 | "숭실대학교 도서관" | "Y"
0000040 | "과학의 최전선에서 인문학을 만나다" | "소소" | "안인희" | 8990247292126 | "숭실대학교 도서관" | "Y"
0000041 | "구별짓기" | "새물결" | "최종철" | 8955592043127 | "숭실대학교 도서관" | "Y"
0000042 | "구토" | "문예출판사" | "방곤" | 8931001835128 | "숭실대학교 도서관" | "Y"
0000043 | "국가" | "풀빛" | "플라톤" | 8974745275129 | "숭실대학교 도서관" | "Y"
0000044 | "국화와 칼" | "을유문화사" | "오인석" | 9788932471389 | "숭실대학교 도서관" | "Y"
