borrow 파일

학번(정수8자리)
도서번호(정수7자리)
대여일자(time_t형)
반납일자(time_t형)

학번 | 도서번호 | 대여일자 | 반납일자

20180018 | 0000001 |   |
20180020 | 0000002 |   |
20180022 | 0000003 |   |
20180024 | 0000004 |   |
20180026 | 0000005 |   |
20180028 | 0000006 |   |
20180030 | 0000007 |   |
20180032 | 0000008 |   |
20180034 | 0000009 |   |
20180036 | 0000010 |   |
20180038 | 0000011 |   |
20180040 | 0000012 |   | 
20180042 | 0000013 |   |
20180044 | 0000014 |   |
20180046 | 0000015 |   |
20180048 | 0000016 |   |
20180050 | 0000017 |   |
20180052 | 0000018 |   |
20180054 | 0000019 |   |
20180056 | 0000020 |   |
